Neighb ID,Name,MH_PC_Tot,MH_PC_F,MH_PC_M,Census_Pop,Med_Indiv_Income,Avg_Ind_Income,Unemploy_rate,Num_Households,Income_U5000,Income_5000to9999,Income_10000to14999,Income_15000to19999,Income_20000to29999,Income_30000to39999,Income_40000to49999,Income_50000to59999,Income_60000to79999,Income_80000to99999,Income_100000to124999,Income_125000to149999,Income_150000Plus,W_Rel,W_Non_Rel,Alone,  Age0to14,  Age15to24 ,  Age25to34 ,  Age35to44 ,  Age45to54 ,  Age55to64 ,  Age65to79,  Age80to99,  Non_immigrants,  Immigrants
94,Old East York,725,781.3,659,9118,34761,47728,6.5,3850,90,45,80,150,355,270,310,295,520,475,430,200,605,275,415,1170,1365,915,1105,1405,1665,1270,975,415,5765,3270
95,Palmerston-Little Italy,477,455.3,499.2,13746,28040,43767,8.2,6235,180,135,235,420,615,635,540,410,765,505,440,365,990,445,2670,2170,1210,1765,3920,2185,1550,1245,1375,515,8650,4655
96,Parkwoods-Donalda,575,632.3,507.9,34617,26950,39337,11.2,13145,375,285,355,450,1215,1350,1395,1170,1830,1355,1135,740,1375,1010,1190,3050,6090,4705,4575,5085,5540,3725,3455,1435,15800,18025
97,Pelmo Park-Humberlea,295.2,314.7,272,8710,28150,34926,9.8,2975,40,0,40,105,340,330,235,210,445,335,335,210,320,290,215,570,1470,1135,980,1230,1445,955,1100,380,4720,3790
98,Playter Estates-Danforth,720.6,629.9,827.7,7653,34970,59218,7.6,3530,90,80,50,305,240,295,305,350,440,270,240,185,695,150,485,1425,1135,730,1230,1280,1240,980,725,340,5360,2025
99,Pleasant View,499.2,459.3,544.3,16144,23813,32568,9.9,5530,255,40,125,200,505,485,495,385,875,655,555,390,530,535,755,975,2270,2010,1945,2470,2570,2015,2220,640,5320,10460
100,Princess-Rosethorn,305.5,359.1,249.1,11197,41688,75429,7,3890,30,45,0,75,175,165,255,190,380,370,355,270,1530,200,140,590,1750,1745,800,1230,2115,1620,1275,670,7630,3475
101,Regent Park,901.5,724.2,1045.3,10007,17906,28246,15.8,3850,150,185,360,470,695,440,380,220,245,210,230,100,165,240,475,1540,2035,1615,1680,1645,1585,885,460,105,4520,4615
102,Rexdale-Kipling,663,642.2,683.9,10488,25922,32775,11.2,3945,135,145,140,250,400,380,280,370,650,405,345,200,270,340,370,1145,1590,1320,1240,1390,1695,1335,1255,655,4900,5185
103,Rockcliffe-Smythe,680,650.7,713.8,22267,23849,31526,11.5,8905,295,220,325,590,1105,975,925,805,1090,920,815,385,430,735,865,2910,3815,2925,3020,2990,3455,2640,2480,925,10565,11345
104,Roncesvalles,914.4,545.2,1298.8,15050,30012,44827,6.4,6820,225,220,440,440,730,725,525,420,610,520,535,485,950,440,1305,2605,2475,1340,2825,2970,2330,1500,1190,435,9285,5275
105,Rosedale-Moore Park,471.4,506.4,430.8,20631,53720,137433,5.9,10000,405,110,185,290,515,480,620,685,1175,870,600,525,3450,300,990,4340,2495,2260,2555,2525,3165,3115,3170,1340,14260,5355
106,Rouge,269.8,193.7,354.8,45912,28461,36687,9.9,13065,125,80,170,280,675,945,970,1110,1805,1830,1505,1300,2125,1895,925,1560,8535,6935,6135,5970,7370,6140,3735,1090,19475,25715
107,Runnymede-Bloor West Village,648.9,821.6,454.5,9632,38200,62301,6.9,3805,145,20,60,170,205,310,195,160,420,410,320,310,1045,165,350,925,1820,965,1200,1790,1605,1170,720,365,6955,2590
108,Rustic,447.4,581.7,267.6,9951,22326,28923,14.4,3650,110,70,205,335,555,385,460,470,340,170,145,175,210,375,230,840,2235,1305,1195,1265,1295,885,1240,525,4180,5445
109,Scarborough Village,680.7,590.1,790.4,16609,21617,31337,14,5905,250,180,420,390,680,845,755,480,645,380,270,170,445,490,590,1515,3485,2460,2085,2255,2435,1875,1335,695,6650,9000
110,South Parkdale,2111.3,2233.1,1993.4,21251,21474,30198,13,10370,520,440,990,1095,1300,1510,1230,780,1045,395,375,340,345,775,2020,5295,2565,2415,4785,3835,3125,2310,1655,575,9525,9235
111,South Riverdale,838.5,847.6,832.5,25642,29358,44138,7.2,10740,350,405,485,415,1080,780,850,590,1415,935,1045,780,1545,775,2095,3755,3450,2715,4655,5005,4235,2775,2015,805,15255,9230
112,St.Andrew-Windfields,429.4,504.8,344.8,17958,38086,86730,8.5,6465,190,175,75,205,485,360,410,410,580,475,525,370,2180,330,490,1335,2745,2785,1745,2365,3130,2520,2000,690,9265,8250
113,Steeles,208,171.2,249.2,25017,19938,28731,11.1,7680,210,145,130,395,820,780,665,635,1085,810,710,515,765,995,1220,1050,3025,3490,3170,3255,3960,3565,3145,1400,5575,18560
114,Stonegate-Queensway,369.2,307.9,438.1,24691,38899,55143,8,10425,265,105,210,445,755,840,820,580,1275,1100,1030,780,2190,550,765,3095,3885,2480,2860,3850,4325,3300,2525,1450,14955,9130
115,Tam O'Shanter-Sullivan,434.3,365.8,515.9,27398,21185,30311,9.8,9815,315,160,290,650,1350,1100,1000,700,1375,855,715,455,770,945,1120,2175,4185,3320,3270,3805,4175,3100,3630,1890,9130,17245
