Neighb ID,Name,MH_PC_Tot,MH_PC_F,MH_PC_M,Census_Pop,Med_Indiv_Income,Avg_Ind_Income,Unemploy_rate,Num_Households,Income_U5000,Income_5000to9999,Income_10000to14999,Income_15000to19999,Income_20000to29999,Income_30000to39999,Income_40000to49999,Income_50000to59999,Income_60000to79999,Income_80000to99999,Income_100000to124999,Income_125000to149999,Income_150000Plus,W_Rel,W_Non_Rel,Alone,  Age0to14,  Age15to24 ,  Age25to34 ,  Age35to44 ,  Age45to54 ,  Age55to64 ,  Age65to79,  Age80to99,  Non_immigrants,  Immigrants
36,East End-Danforth,919.2,749.9,1105.3,20839,36216,48746,7.8,9110,415,175,425,525,1005,610,610,665,890,850,1040,480,1440,425,930,3290,3540,2240,2900,3745,3620,2600,1590,605,14490,5620
37,Edenbridge-Humber Valley,429.7,407.8,456.6,14943,34022,63321,8,6020,200,70,70,240,585,400,595,430,650,560,410,380,1380,345,375,1725,2185,1855,1660,1875,2480,2090,1865,935,8830,5885
38,Eglinton East,583,516.4,666.2,22829,22162,28324,14.1,8055,150,200,295,510,1275,970,975,835,955,705,510,340,335,920,810,1855,4545,3085,2935,3200,3375,2545,2180,955,9045,12830
39,Elms-Old Rexdale,610.1,419,828,9550,23657,29596,12.3,3220,70,110,0,185,325,355,455,295,470,335,290,130,145,360,315,590,2115,1380,1160,1350,1430,1015,865,245,4555,4845
40,Englemount-Lawrence,543.8,614.9,442.1,22086,27063,44363,7.6,8135,290,130,215,800,895,880,895,790,875,625,460,270,1020,590,1060,2770,4755,2815,2780,2825,2735,2115,2030,1995,10745,10010
41,Eringate-Centennial-West Deane,452.7,434.5,473.1,18810,33564,43353,7.6,6900,155,50,85,155,460,560,460,460,995,865,965,635,1010,500,375,1390,2755,2540,1795,2270,3295,2515,2560,1075,10420,8180
42,Etobicoke West Mall,509.5,442.8,586.7,10927,27114,34153,9.9,4040,90,95,50,245,365,365,595,435,575,485,270,225,255,305,370,1090,1780,1415,1275,1495,1785,1270,1115,790,5010,5430
43,Flemingdon Park,520.2,419.1,637,22168,20979,28422,15.3,8040,295,225,250,495,925,1145,1015,805,1105,780,475,160,350,820,805,2065,4455,3090,3275,3230,3200,2230,2075,615,7155,14170
44,Forest Hill North,437.5,486.5,371.7,12474,34271,71920,8.6,5340,170,90,210,210,530,475,510,425,605,460,280,280,1090,265,710,1945,2015,1525,1760,1995,1910,1565,1110,590,7090,4750
45,Forest Hill South,463.3,459.7,467.2,10926,42152,122460,7,4790,120,45,155,245,360,355,295,320,490,430,285,230,1420,140,550,1945,1320,1585,1480,1230,1605,1575,1375,760,7910,2450
46,Glenfield-Jane Heights,444.4,386.8,512.7,31390,21397,25726,13.5,10005,210,200,315,755,1415,1240,1135,975,1405,855,770,360,315,1435,1350,1805,6545,4545,3920,4080,4450,3110,3540,1185,11445,19040
47,Greenwood-Coxwell,891.4,843.4,947.6,14083,27783,41374,10.1,6000,145,130,265,450,530,540,545,415,765,745,465,330,640,460,920,2075,2155,1490,2275,2615,2320,1640,1170,415,8850,5070
48,Guildwood,577.5,537.8,628.5,9816,36007,47713,6.4,3960,40,0,20,95,190,480,370,275,580,530,475,295,565,265,215,1040,1290,1080,795,1165,1560,1425,1630,880,6400,3180
49,Henry Farm,452.4,503.8,391.4,11333,21812,32617,12.8,4095,275,105,165,180,340,490,365,370,550,320,305,225,365,365,530,885,2175,1485,2005,1935,1580,1050,845,260,3395,7440
50,High Park North,731.3,764,692.1,21292,36994,50002,7.8,10605,565,230,375,540,810,840,940,865,1365,1080,980,565,1425,365,1440,4670,2660,2130,4635,3735,3065,2525,1695,855,12145,8120
51,High Park-Swansea,584.7,452.7,741.9,21740,39949,63148,6.7,9855,350,175,360,355,865,755,670,610,1290,885,845,565,2130,435,1205,3895,3250,1900,3555,3750,3280,2610,2105,1270,14695,6385
52,Highland Creek,455.2,381.8,532.5,13097,29962,39918,8.8,3800,70,35,60,55,175,135,280,260,420,430,575,390,900,500,300,370,1740,2050,1730,1300,2100,2180,1580,415,5590,7275
53,Hillcrest Village,348.2,336.5,361.3,17656,24482,38449,9.1,6550,165,135,120,605,515,540,505,470,795,655,625,450,930,445,570,1490,2100,2480,1695,2320,2730,2475,2730,1095,4840,12265
54,Humber Heights-Westmount,523.5,526.9,519.1,10583,28949,40658,8.3,3930,85,90,90,215,380,325,400,295,440,485,275,255,530,315,205,1095,1475,1140,1080,1245,1555,1255,1520,1310,5185,4465
55,Humber Summit,579.1,601,553.1,12525,22386,27265,11,3785,105,0,40,90,345,460,505,400,605,440,350,160,250,515,375,520,2315,1750,1555,1695,1680,1260,1795,480,4575,7735
56,Humbermede,367,301.5,438,15853,22775,27025,13.1,5115,170,85,130,295,540,690,570,475,780,580,350,255,195,650,680,860,3170,2260,2265,2295,2280,1590,1480,510,5745,9655
57,Humewood-Cedarvale,525.2,418,660.7,14108,32431,52647,6.7,6580,165,210,275,455,750,565,535,485,840,500,425,305,1065,350,1065,2660,2050,1725,2750,2305,2020,1645,1165,440,8895,4730
58,Ionview,489.6,580.1,382.6,13091,23751,28412,13.3,5075,215,190,160,320,600,625,650,575,655,440,300,120,220,570,655,1320,2195,1710,1935,1905,2130,1525,1240,445,5305,7425
59,Islington-City Centre West,538.7,433.3,660.8,38084,33142,46948,7.3,16255,485,290,350,730,1220,1405,1430,1420,2165,1650,1490,1185,2315,1045,1385,5385,5165,4330,6035,5595,5825,4590,4070,2470,19945,16885
60,Junction Area,879.1,1079.4,667.9,14027,29898,39242,7.9,4570,125,110,190,195,335,420,415,325,570,610,530,255,515,420,1075,1875,2025,1695,2670,2475,2285,1555,965,355,6590,4605
61,Keelesdale-Eglinton West,363.2,212.3,524.3,10638,22170,28919,10.8,3980,140,125,185,360,385,470,405,255,525,465,370,160,145,440,420,1055,1690,1380,1485,1530,1750,1240,1150,410,3820,6425
62,Kennedy Park,797.1,741,857.4,17058,21038,27622,11.8,6535,285,200,430,410,855,785,755,545,785,540,395,300,205,695,680,1950,2930,2210,2150,2465,2900,2115,1665,620,7380,9365
63,Kensington-Chinatown,962.5,1036.8,882,18495,19675,31229,10.1,8640,635,365,430,820,1230,715,915,650,905,640,440,255,605,660,3665,3880,1520,3650,4375,2395,2370,1605,1685,875,8295,8540
64,Kingsview Village-The Westway,559.6,391.8,759.1,21723,24939,34120,9.4,7650,210,130,150,370,980,880,790,655,1035,665,665,480,630,735,790,1630,4470,2900,2670,2910,3060,2325,2370,1040,9610,11750
65,Kingsway South,390.2,415,361.6,9170,56357,110927,5.9,3500,0,0,30,0,185,145,160,125,275,295,345,230,1625,135,160,855,1725,1020,650,1250,1515,1315,1135,565,7165,1855
